CPU: ID 0x306a9, Processor Type 0x0, Family 0x6, Model 0x3a, Stepping 0x9
Northbridge: 8086:0150 (3rd generation (Ivy Bridge family) Core Processor (Desktop))
Southbridge: 8086:1c4a (H67)

============= GPIOS =============

GPIOBASE = 0x0480 (IO)

gpiobase+0x0000: 0xb97ba1c3 (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x0010003c (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0x8eef6ec3 (GP_IO_SEL)
gpiobase+0x0004: 0xf6ff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x7810003c (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0xe0da7ebf (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0xe2247fbf (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x00002000 (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x00002000 (GPI_INV) DIFF
gpiobase+0x0030: 0x020300fb (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300ff (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x00000004 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x1f57fff0 (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x00000004 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xfcfe0f05 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x58540f02 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x00000130 (GPIO_USE_SEL3)
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3)
gpiobase+0x0048: 0x00000d3f (GP_LVL3)
gpiobase+0x0048: 0x000000c0 (GP_LVL3) DEFAULT
gpiobase+0x0048: 0x00000dff (GP_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x00000000 (GP_RST_SEL1)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DEFAULT
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DIFF
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0x3bd0: 0xffffffff
0x3bd4: 0xffffffff
0x3bd8: 0xffffffff
0x3bdc: 0xffffffff
0x3be0: 0xffffffff
0x3be4: 0xffffffff
0x3be8: 0xffffffff
0x3bec: 0xffffffff
0x3bf0: 0xffffffff
0x3bf4: 0xffffffff
0x3bf8: 0xffffffff
0x3bfc: 0xffffffff
0x3c00: 0xffffffff
0x3c04: 0xffffffff
0x3c08: 0xffffffff
0x3c0c: 0xffffffff
0x3c10: 0xffffffff
0x3c14: 0xffffffff
0x3c18: 0xffffffff
0x3c1c: 0xffffffff
0x3c20: 0xffffffff
0x3c24: 0xffffffff
0x3c28: 0xffffffff
0x3c2c: 0xffffffff
0x3c30: 0xffffffff
0x3c34: 0xffffffff
0x3c38: 0xffffffff
0x3c3c: 0xffffffff
0x3c40: 0xffffffff
0x3c44: 0xffffffff
0x3c48: 0xffffffff
0x3c4c: 0xffffffff
0x3c50: 0xffffffff
0x3c54: 0xffffffff
0x3c58: 0xffffffff
0x3c5c: 0xffffffff
0x3c60: 0xffffffff
0x3c64: 0xffffffff
0x3c68: 0xffffffff
0x3c6c: 0xffffffff
0x3c70: 0xffffffff
0x3c74: 0xffffffff
0x3c78: 0xffffffff
0x3c7c: 0xffffffff
0x3c80: 0xffffffff
0x3c84: 0xffffffff
0x3c88: 0xffffffff
0x3c8c: 0xffffffff
0x3c90: 0xffffffff
0x3c94: 0xffffffff
0x3c98: 0xffffffff
0x3c9c: 0xffffffff
0x3ca0: 0xffffffff
0x3ca4: 0xffffffff
0x3ca8: 0xffffffff
0x3cac: 0xffffffff
0x3cb0: 0xffffffff
0x3cb4: 0xffffffff
0x3cb8: 0xffffffff
0x3cbc: 0xffffffff
0x3cc0: 0xffffffff
0x3cc4: 0xffffffff
0x3cc8: 0xffffffff
0x3ccc: 0xffffffff
0x3cd0: 0xffffffff
0x3cd4: 0xffffffff
0x3cd8: 0xffffffff
0x3cdc: 0xffffffff
0x3ce0: 0xffffffff
0x3ce4: 0xffffffff
0x3ce8: 0xffffffff
0x3cec: 0xffffffff
0x3cf0: 0xffffffff
0x3cf4: 0xffffffff
0x3cf8: 0xffffffff
0x3cfc: 0xffffffff
0x3d00: 0xffffffff
0x3d04: 0xffffffff
0x3d08: 0xffffffff
0x3d0c: 0xffffffff
0x3d10: 0xffffffff
0x3d14: 0xffffffff
0x3d18: 0xffffffff
0x3d1c: 0xffffffff
0x3d20: 0xffffffff
0x3d24: 0xffffffff
0x3d28: 0xffffffff
0x3d2c: 0xffffffff
0x3d30: 0xffffffff
0x3d34: 0xffffffff
0x3d38: 0xffffffff
0x3d3c: 0xffffffff
0x3d40: 0xffffffff
0x3d44: 0xffffffff
0x3d48: 0xffffffff
0x3d4c: 0xffffffff
0x3d50: 0xffffffff
0x3d54: 0xffffffff
0x3d58: 0xffffffff
0x3d5c: 0xffffffff
0x3d60: 0xffffffff
0x3d64: 0xffffffff
0x3d68: 0xffffffff
0x3d6c: 0xffffffff
0x3d70: 0xffffffff
0x3d74: 0xffffffff
0x3d78: 0xffffffff
0x3d7c: 0xffffffff
0x3d80: 0xffffffff
0x3d84: 0xffffffff
0x3d88: 0xffffffff
0x3d8c: 0xffffffff
0x3d90: 0xffffffff
0x3d94: 0xffffffff
0x3d98: 0xffffffff
0x3d9c: 0xffffffff
0x3da0: 0xffffffff
0x3da4: 0xffffffff
0x3da8: 0xffffffff
0x3dac: 0xffffffff
0x3db0: 0xffffffff
0x3db4: 0xffffffff
0x3db8: 0xffffffff
0x3dbc: 0xffffffff
0x3dc0: 0xffffffff
0x3dc4: 0xffffffff
0x3dc8: 0xffffffff
0x3dcc: 0xffffffff
0x3dd0: 0xffffffff
0x3dd4: 0xffffffff
0x3dd8: 0xffffffff
0x3ddc: 0xffffffff
0x3de0: 0xffffffff
0x3de4: 0xffffffff
0x3de8: 0xffffffff
0x3dec: 0xffffffff
0x3df0: 0xffffffff
0x3df4: 0xffffffff
0x3df8: 0xffffffff
0x3dfc: 0xffffffff
0x3e00: 0xffffffff
0x3e04: 0xffffffff
0x3e08: 0xffffffff
0x3e0c: 0xffffffff
0x3e10: 0xffffffff
0x3e14: 0xffffffff
0x3e18: 0xffffffff
0x3e1c: 0xffffffff
0x3e20: 0xffffffff
0x3e24: 0xffffffff
0x3e28: 0xffffffff
0x3e2c: 0xffffffff
0x3e30: 0xffffffff
0x3e34: 0xffffffff
0x3e38: 0xffffffff
0x3e3c: 0xffffffff
0x3e40: 0xffffffff
0x3e44: 0xffffffff
0x3e48: 0xffffffff
0x3e4c: 0xffffffff
0x3e50: 0xffffffff
0x3e54: 0xffffffff
0x3e58: 0xffffffff
0x3e5c: 0xffffffff
0x3e60: 0xffffffff
0x3e64: 0xffffffff
0x3e68: 0xffffffff
0x3e6c: 0xffffffff
0x3e70: 0xffffffff
0x3e74: 0xffffffff
0x3e78: 0xffffffff
0x3e7c: 0xffffffff
0x3e80: 0xffffffff
0x3e84: 0xffffffff
0x3e88: 0xffffffff
0x3e8c: 0xffffffff
0x3e90: 0xffffffff
0x3e94: 0xffffffff
0x3e98: 0xffffffff
0x3e9c: 0xffffffff
0x3ea0: 0xffffffff
0x3ea4: 0xffffffff
0x3ea8: 0xffffffff
0x3eac: 0xffffffff
0x3eb0: 0xffffffff
0x3eb4: 0xffffffff
0x3eb8: 0xffffffff
0x3ebc: 0xffffffff
0x3ec0: 0xffffffff
0x3ec4: 0xffffffff
0x3ec8: 0xffffffff
0x3ecc: 0xffffffff
0x3ed0: 0xffffffff
0x3ed4: 0xffffffff
0x3ed8: 0xffffffff
0x3edc: 0xffffffff
0x3ee0: 0xffffffff
0x3ee4: 0xffffffff
0x3ee8: 0xffffffff
0x3eec: 0xffffffff
0x3ef0: 0xffffffff
0x3ef4: 0xffffffff
0x3ef8: 0xffffffff
0x3efc: 0xffffffff
0x3f00: 0x0000010b



========== ACPI/PMC =========


========== ABASE/PMBASE =========

PMBASE = 0x0500 (IO)

pmbase+0x0000: 0x0001     (PM1_STS)
pmbase+0x0002: 0x0120     (PM1_EN)
pmbase+0x0004: 0x00000001 (PM1_CNT)
pmbase+0x0008: 0x00373be1 (PM1_TMR)
pmbase+0x000c: 0x00000000 (RESERVED)
pmbase+0x0010: 0x00000000 (RESERVED)
pmbase+0x0014: 0x00000000 (RESERVED)
pmbase+0x0018: 0x00000000 (RESERVED)
pmbase+0x001c: 0x00000000 (RESERVED)
pmbase+0x0020: 0x4e830000 (GPE0_STS)
               0x00000008
pmbase+0x0028: 0x00000000 (GPE0_EN)
               0x00000000
pmbase+0x0030: 0x00002033 (SMI_EN)
pmbase+0x0034: 0x00004100 (SMI_STS)
pmbase+0x0038: 0x0000     (ALT_GP_SMI_EN)
pmbase+0x003a: 0x4e83     (ALT_GP_SMI_STS)
pmbase+0x003c: 0x00       (UPRWC)
pmbase+0x003d: 0x01       (RESERVED)
pmbase+0x003e: 0x0000     (RESERVED)
pmbase+0x0040: 0x0000     (RESERVED)
pmbase+0x0042: 0x00       (GPE_CNTL)
pmbase+0x0043: 0x00       (RESERVED)
pmbase+0x0044: 0x13e0     (DEVACT_STS)
pmbase+0x0046: 0x0000     (RESERVED)
pmbase+0x0048: 0x00000000 (RESERVED)
pmbase+0x004c: 0x00000000 (RESERVED)
pmbase+0x0050: 0x00       (PM2_CNT)
pmbase+0x0051: 0x00       (RESERVED)
pmbase+0x0052: 0x0000     (RESERVED)
pmbase+0x0054: 0x00002000 (RESERVED)
pmbase+0x0058: 0x00000000 (RESERVED)
pmbase+0x005c: 0x00000000 (RESERVED)
pmbase+0x0060: 0x0004     (TCO_RLD)
pmbase+0x0062: 0x00       (TCO_DAT_IN)
pmbase+0x0063: 0x00       (TCO_DAT_OUT)
pmbase+0x0064: 0x0000     (TCO1_STS)
